id,section,route,source_file,context,ru_text,kk_proposed,review_status,notes
F-001,FOOTER,(все страницы),src/components/layout/Footer.tsx,Заголовок колонки ссылок в футере,Навигация,Бөлімдер,NEEDS_REVIEW,"Альтернатива: ""Бөлімдер"" — требует решения"
F-002,FOOTER,(все страницы),src/components/layout/Footer.tsx,Заголовок колонки контактов в футере,Контакты,Байланыс,NEEDS_REVIEW,"Тот же текст, что H-005, но другой контекст (заголовок блока, не пункт меню)"
F-003,FOOTER,(все страницы),src/components/layout/Footer.tsx,Заголовок колонки реквизитов в футере,Реквизиты,Деректемелер,NEEDS_REVIEW,
F-004,FOOTER,(все страницы),src/lib/config/site.ts,Ссылка в футере,Каталог стеллажей,Стеллаждар каталогы,NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
F-005,FOOTER,(все страницы),src/lib/config/site.ts,Ссылка в футере,Доставка,Жеткізу,NEEDS_REVIEW,
F-006,FOOTER,(все страницы),src/lib/config/site.ts,Ссылка в футере,Оплата,Төлем,NEEDS_REVIEW,
F-007,FOOTER,(все страницы),src/lib/config/site.ts,Ссылка в футере,Политика конфиденциальности,Құпиялылық саясаты,NEEDS_REVIEW,
F-008,FOOTER,(все страницы),src/lib/config/site.ts,Ссылка в футере,Публичная оферта,Жария оферта,NEEDS_REVIEW,
F-009,FOOTER,(все страницы),src/components/layout/Footer.tsx,Подпись к БИН компании в футере,БИН:,БСН:,NEEDS_REVIEW,Сам номер БИН не переводится
F-010,FOOTER,(все страницы),src/components/layout/Footer.tsx,Строка реквизитов в футере,Работаем с физическими и юридическими лицами,Жеке және заңды тұлғалармен жұмыс істейміз,NEEDS_REVIEW,
F-011,FOOTER,(все страницы),src/components/layout/Footer.tsx,Строка реквизитов в футере,"Работаем с НДС, предоставляем документы","ҚҚС төлеушісіміз, қажетті құжаттардың толық пакетін ұсынамыз",NEEDS_REVIEW,
F-012,FOOTER,(все страницы),src/components/layout/Footer.tsx,"Копирайт: ""© 2026 ИП ... Все права защищены.""",Все права защищены.,Барлық құқықтар қорғалған.,NEEDS_REVIEW,Динамически: год + наименование компании + эта фраза
F-013,FOOTER,(все страницы),src/components/layout/Footer.tsx,Строка валюты и страны в нижней полосе футера,Казахстан,Қазақстан,NEEDS_REVIEW,"Динамически: ""₸ KZT · Казахстан"""
HM-001,HOME,/,src/app/page.tsx,Бейдж над заголовком в hero-блоке,Конфигуратор с расчётом цены онлайн,Бағаны онлайн есептейтін конфигуратор,NEEDS_REVIEW,
HM-002,HOME,/,src/app/page.tsx,Главный заголовок H1 на главной,Соберите стеллаж MS и получите цену мгновенно,"MS стеллажын құрастырып, бағасын бірден біліңіз",NEEDS_REVIEW,
HM-003,HOME,/,src/app/page.tsx,Подзаголовок hero-блока,"Модульные металлические стеллажи для склада, архива, гаража и офиса. Задайте размеры, нагрузку и комплектацию — итоговая стоимость рассчитывается сразу.","Қоймаға, мұрағатқа, гаражға және кеңсеге арналған модульдік металл стеллаждар. Өлшемдерін, жүктемесін және жинақтамасын көрсетіңіз — қорытынды құны бірден есептеледі.",NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
HM-004,HOME,/,src/app/page.tsx,Основная кнопка hero-блока,Открыть конфигуратор,Конфигураторды ашу,NEEDS_REVIEW,
HM-005,HOME,/,src/app/page.tsx,Вторичная кнопка hero-блока,Смотреть каталог,Каталогты қарау,NEEDS_REVIEW,
HM-006,HOME,/,src/app/page.tsx,Строка под кнопками hero-блока,Стеллажи от {цена} · нагрузка до 150 кг на полку,Стеллаждар {баға}-дан бастап · бір сөреге 150 кг-ға дейін жүктеме,NEEDS_REVIEW,"ДИНАМИЧЕСКАЯ СТРОКА: цена подставляется из расчёта; 150 кг захардкожено в page.tsx. Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
HM-007,HOME,/,src/app/page.tsx,Преимущество 1 — заголовок,До 150 кг на полку,Бір сөреге 150 кг-ға дейін,NEEDS_REVIEW,
HM-008,HOME,/,src/app/page.tsx,Преимущество 1 — описание,"MS Стандарт для склада, архива и офиса","Қоймаға, мұрағатқа және кеңсеге арналған MS Стандарт",NEEDS_REVIEW,"MS Стандарт — название модели, не переводится"
HM-009,HOME,/,src/app/page.tsx,Преимущество 2 — заголовок,Модульная конструкция,Модульдік құрылым,NEEDS_REVIEW,
HM-010,HOME,/,src/app/page.tsx,Преимущество 2 — описание,Наращивайте секции и полки по мере роста склада,Қоймаңыз кеңейген сайын секциялар мен сөрелерді көбейтіңіз,NEEDS_REVIEW,
HM-011,HOME,/,src/app/page.tsx,Преимущество 3 — заголовок,Регулируемый шаг полок,Сөрелердің реттелетін қадамы,NEEDS_REVIEW,
HM-012,HOME,/,src/app/page.tsx,Преимущество 3 — описание,Настройте высоту под конкретные грузы без сверления,Нақты жүкке сай биіктікті бұрғылаусыз реттеңіз,NEEDS_REVIEW,
HM-013,HOME,/,src/app/page.tsx,Преимущество 4 — заголовок,Быстрая сборка,Жылдам жинау,NEEDS_REVIEW,
HM-014,HOME,/,src/app/page.tsx,Преимущество 4 — описание,"Болтовое соединение — без сварки, силами одной бригады","Бұранды қосылыс — дәнекерлеусіз, бір бригадамен құрастырылады",NEEDS_REVIEW,
HM-015,HOME,/,src/app/page.tsx,Преимущество 5 — заголовок,Размеры на выбор,Таңдауға болатын өлшемдер,NEEDS_REVIEW,ru обновлён по исходнику 2026-09-21. НОВОЕ ПРЕДЛОЖЕНИЕ kk (2026-09-21) — требует проверки владельцем
HM-016,HOME,/,src/app/page.tsx,Преимущество 5 — описание,"Стандартные высоты, ширины и глубины — подберите сочетание в конфигураторе","Стандартты биіктік, ен және тереңдік — үйлесімін конфигураторда таңдаңыз",NEEDS_REVIEW,ru обновлён по исходнику 2026-09-21. НОВОЕ ПРЕДЛОЖЕНИЕ kk (2026-09-21) — требует проверки владельцем
HM-017,HOME,/,src/app/page.tsx,Преимущество 6 — заголовок,Доставка по Казахстану,Қазақстан бойынша жеткізу,NEEDS_REVIEW,
HM-018,HOME,/,src/app/page.tsx,Преимущество 6 — описание,"Самовывоз, доставка по городу и в регионы","Қоймадан алып кету, қала ішінде және өңірлерге жеткізу",NEEDS_REVIEW,
HM-019,HOME,/,src/app/page.tsx,Преимущество 7 — заголовок,Физическим и юридическим лицам,Жеке және заңды тұлғаларға,NEEDS_REVIEW,
HM-020,HOME,/,src/app/page.tsx,Преимущество 7 — описание,"Работаем с частными клиентами, компаниями и госорганизациями","Жеке клиенттермен, компаниялармен және мемлекеттік мекемелермен жұмыс істейміз",NEEDS_REVIEW,
HM-021,HOME,/,src/app/page.tsx,Преимущество 8 — заголовок,Документы с НДС,ҚҚС-пен құжаттар,NEEDS_REVIEW,
HM-022,HOME,/,src/app/page.tsx,Преимущество 8 — описание,Полный пакет закрывающих документов для бухгалтерии,Бухгалтерияға арналған жабу құжаттарының толық пакеті,NEEDS_REVIEW,
HM-023,HOME,/,src/app/page.tsx,Заголовок секции преимуществ,Почему выбирают MS,Неліктен MS-ті таңдайды,NEEDS_REVIEW,
HM-024,HOME,/,src/app/page.tsx,Заголовок секции моделей,Категории стеллажей,Стеллаж санаттары,NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
HM-025,HOME,/,src/app/page.tsx,Подпись характеристики модели в карточке-витрине,Высота,Биіктігі,NEEDS_REVIEW,
HM-026,HOME,/,src/app/page.tsx,Подпись характеристики модели в карточке-витрине,Ширина,Ені,NEEDS_REVIEW,
HM-027,HOME,/,src/app/page.tsx,Подпись характеристики модели в карточке-витрине,Глубина,Тереңдігі,NEEDS_REVIEW,
HM-028,HOME,/,src/app/page.tsx,Подпись характеристики модели в карточке-витрине,Нагрузка,Жүктеме,NEEDS_REVIEW,
HM-029,HOME,/,src/app/page.tsx,Значение нагрузки в витрине модели,до {N} кг/полку,бір сөреге {N} кг-ға дейін,NEEDS_REVIEW,ДИНАМИЧЕСКАЯ СТРОКА: N из каталога
HM-030,HOME,/,src/app/page.tsx,Диапазон размеров модели в витрине,{min}–{max} мм,{min}–{max} мм,NEEDS_REVIEW,ДИНАМИЧЕСКАЯ СТРОКА: границы из каталога
HM-031,HOME,/,src/app/page.tsx,Примечание под характеристиками модели,Доступные сочетания размеров проверяются в конфигураторе.,Қолжетімді өлшем үйлесімдері конфигураторда тексеріледі.,NEEDS_REVIEW,
HM-032,HOME,/,src/app/page.tsx,Кнопка в карточке-витрине модели,Настроить стеллаж,Стеллажды баптау,NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
HM-033,HOME,/,src/app/page.tsx,Вторичная кнопка в карточке-витрине модели,Смотреть модели,Модельдерді қарау,NEEDS_REVIEW,
HM-034,HOME,/,src/app/page.tsx,Заголовок секции как это работает,Как это работает,Бұл қалай жұмыс істейді,NEEDS_REVIEW,
HM-035,HOME,/,src/app/page.tsx,Шаг 1 — заголовок,Выберите модель,Модельді таңдаңыз,NEEDS_REVIEW,
HM-036,HOME,/,src/app/page.tsx,Шаг 1 — описание,MS Стандарт для ваших задач,Жұмысыңызға арналған MS Стандарт,NEEDS_REVIEW,
HM-037,HOME,/,src/app/page.tsx,Шаг 2 — заголовок,Задайте размеры,Өлшемдерді көрсетіңіз,NEEDS_REVIEW,
HM-038,HOME,/,src/app/page.tsx,Шаг 2 — описание,"Высота, ширина, глубина и число полок","Биіктігі, ені, тереңдігі және сөрелер саны",NEEDS_REVIEW,
HM-039,HOME,/,src/app/page.tsx,Шаг 3 — заголовок,Добавьте аксессуары,Аксессуарларды қосыңыз,NEEDS_REVIEW,
HM-040,HOME,/,src/app/page.tsx,Шаг 3 — описание,"Стенки, разделители, контейнеры и сборку","Қабырғалар, бөлгіштер, контейнерлер және құрастыру қызметі",NEEDS_REVIEW,
HM-041,HOME,/,src/app/page.tsx,Шаг 4 — заголовок,Получите цену,Бағасын біліңіз,NEEDS_REVIEW,
HM-042,HOME,/,src/app/page.tsx,Шаг 4 — описание,Расчёт происходит мгновенно на сервере,Баға серверде бірден есептеледі,NEEDS_REVIEW,
HM-043,HOME,/,src/app/page.tsx,Шаг 5 — заголовок,Оформите заказ,Тапсырыс беріңіз,NEEDS_REVIEW,
HM-044,HOME,/,src/app/page.tsx,Шаг 5 — описание,"Онлайн, по телефону или в WhatsApp","Онлайн, телефон арқылы немесе WhatsApp арқылы",NEEDS_REVIEW,
HM-045,HOME,/,src/app/page.tsx,Заголовок секции популярных конфигураций,Популярные конфигурации,Танымал конфигурациялар,NEEDS_REVIEW,
HM-046,HOME,/,src/app/page.tsx,Ссылка справа от заголовка популярных конфигураций,Весь каталог →,Толық каталог →,NEEDS_REVIEW,
HM-047,HOME,/,src/app/page.tsx,Заголовок секции применений,Где используют стеллажи MS,MS стеллаждары қайда қолданылады,NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
HM-048,HOME,/,src/app/page.tsx,Заголовок блока способов получения,Способы получения,Тауарды алу тәсілдері,NEEDS_REVIEW,
HM-049,HOME,/,src/app/page.tsx,Пункт списка способов получения,"Склады в Алматы, Астане, Караганде и Шымкенте","Алматы, Астана, Қарағанды және Шымкент қалаларындағы қоймалар",NEEDS_REVIEW,
HM-050,HOME,/,src/app/page.tsx,Пункт списка способов получения,"Доставка по Алматы, Астане, Караганде и Шымкенту — бесплатно, в тот же день","Алматы, Астана, Қарағанды және Шымкент қалаларында жеткізу — тегін, сол күні",NEEDS_REVIEW,ru обновлён по исходнику 2026-09-21. kk — утверждённая бизнес-формулировка (2026-09-21)
HM-051,HOME,/,src/app/page.tsx,Пункт списка способов получения,Доставка в другие города и регионы Казахстана — 2–3 дня. Стоимость доставки рассчитывается индивидуально.,Қазақстанның басқа қалалары мен өңірлеріне жеткізу — 2–3 күн. Жеткізу құны жеке есептеледі.,NEEDS_REVIEW,
HM-052,HOME,/,src/app/page.tsx,Пункт списка способов получения,Профессиональная сборка на объекте,Нысанда кәсіби құрастыру,NEEDS_REVIEW,
HM-053,HOME,/,src/app/page.tsx,Кнопка под списком способов получения,Подробнее о доставке,Жеткізу туралы толығырақ,NEEDS_REVIEW,
HM-054,HOME,/,src/app/page.tsx,Заголовок блока способов оплаты,Способы оплаты,Төлем тәсілдері,NEEDS_REVIEW,
HM-055,HOME,/,src/app/page.tsx,Пункт списка способов оплаты,Безналичный расчёт для юридических лиц,Заңды тұлғаларға қолма-қол ақшасыз есеп айырысу,NEEDS_REVIEW,
HM-056,HOME,/,src/app/page.tsx,Пункт списка способов оплаты,Оплата по счёту,Шот бойынша төлем,NEEDS_REVIEW,
HM-057,HOME,/,src/app/page.tsx,Пункт списка способов оплаты,Наличными при самовывозе,Қоймадан алып кеткенде қолма-қол ақшамен,NEEDS_REVIEW,
HM-058,HOME,/,src/app/page.tsx,Пункт списка способов оплаты,Kaspi Pay и Kaspi QR — скоро,Kaspi Pay және Kaspi QR — жақында,NEEDS_REVIEW,Kaspi Pay / Kaspi QR не переводятся
HM-059,HOME,/,src/app/page.tsx,Кнопка под списком способов оплаты,Подробнее об оплате,Төлем туралы толығырақ,NEEDS_REVIEW,
HM-060,HOME,/,src/app/page.tsx,Заголовок контактной секции на главной,Свяжитесь с нами,Бізбен байланысыңыз,NEEDS_REVIEW,
HM-061,HOME,/ и /contacts,src/app/page.tsx; src/app/contacts/page.tsx,Подпись поля контактов,WhatsApp,WhatsApp,NEEDS_REVIEW,НЕ ПЕРЕВОДИТЬ — название сервиса
HM-062,HOME,/ и /contacts,src/app/page.tsx; src/app/contacts/page.tsx,Подпись поля контактов,Email,Email,NEEDS_REVIEW,Оставить Email либо перевести как Электрондық пошта — требует решения
HM-063,HOME,/ и /contacts,src/app/page.tsx; src/app/contacts/page.tsx,Подпись поля контактов,Адрес,Мекенжай,NEEDS_REVIEW,
HM-064,HOME,/ и /contacts,src/app/page.tsx; src/app/contacts/page.tsx,Подпись поля контактов,Режим работы,Жұмыс уақыты,NEEDS_REVIEW,
HM-066,HOME,/,src/app/page.tsx,Заголовок формы заявки на главной,Оставить заявку,Өтінім қалдыру,NEEDS_REVIEW,
HM-067,HOME,/,src/app/page.tsx,Подпись под заголовком формы заявки,Ответим в рабочее время в течение часа.,Жұмыс уақытында бір сағат ішінде жауап береміз.,NEEDS_REVIEW,
HM-068,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Склад,Қойма,NEEDS_REVIEW,В seed-data уже есть поле kk с этим значением
HM-069,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Архив,Мұрағат,NEEDS_REVIEW,В seed-data уже есть поле kk
HM-070,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Офис,Кеңсе,NEEDS_REVIEW,В seed-data уже есть поле kk
HM-071,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Гараж,Гараж,NEEDS_REVIEW,В seed-data уже есть поле kk
HM-072,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Кладовая,Қойма бөлмесі,NEEDS_REVIEW,В seed-data уже есть поле kk
HM-073,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Магазин,Дүкен,NEEDS_REVIEW,В seed-data уже есть поле kk
HM-074,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Мастерская,Шеберхана,NEEDS_REVIEW,В seed-data уже есть поле kk
HM-075,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Медицинское учреждение,Медициналық мекеме,NEEDS_REVIEW,В seed-data уже есть поле kk
HM-076,HOME,/,src/lib/data/seed-data.ts,Сфера применения (плитка на главной),Учебное заведение,Оқу орны,NEEDS_REVIEW,В seed-data уже есть поле kk
CT-001,CATALOG,/catalog,src/app/catalog/page.tsx,Заголовок H1 страницы каталога,Каталог стеллажей MS,MS стеллаждарының каталогы,NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
CT-002,CATALOG,/catalog,src/app/catalog/page.tsx,Вводный текст под заголовком каталога,Готовые конфигурации с расчитанной ценой. Любую из них можно настроить под себя в конфигураторе.,Бағасы есептелген дайын конфигурациялар. Кез келгенін конфигураторда өз қалауыңызға сай баптауға болады.,NEEDS_REVIEW,В русском оригинале опечатка: расчитанной вместо рассчитанной
CT-003,CATALOG,"/catalog, /catalog/[model]",src/app/catalog/page.tsx; src/app/catalog/[model]/page.tsx,Хлебные крошки (структурированные данные BreadcrumbList),Главная,Басты бет,NEEDS_REVIEW,
CT-004,CATALOG,"/catalog, /catalog/[model]",src/app/catalog/page.tsx; src/app/catalog/[model]/page.tsx,Хлебные крошки (структурированные данные BreadcrumbList),Каталог,Каталог,NEEDS_REVIEW,
CT-005,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Подпись фильтра,Модель,Модель,NEEDS_REVIEW,
CT-006,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Значение фильтра по умолчанию,Все модели,Барлық модельдер,NEEDS_REVIEW,
CT-007,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Подпись фильтра,Применение,Қолданылуы,NEEDS_REVIEW,
CT-008,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Значение фильтра по умолчанию (применение и наличие),Любое,Кез келген,NEEDS_REVIEW,Используется в двух разных фильтрах — контекст одинаковый
CT-009,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Подпись фильтра,Наличие,Бар-жоғы,NEEDS_REVIEW,
CT-010,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Значение фильтра наличия,В наличии,Қоймада бар,NEEDS_REVIEW,
CT-011,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Подпись фильтра,Сортировка,Сұрыптау,NEEDS_REVIEW,
CT-012,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Вариант сортировки,Рекомендуемые,Ұсынылатындар,NEEDS_REVIEW,
CT-013,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Вариант сортировки,Сначала дешевле,Алдымен арзанырақ,NEEDS_REVIEW,
CT-014,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Вариант сортировки,Сначала дороже,Алдымен қымбатырақ,NEEDS_REVIEW,
CT-015,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Вариант сортировки,По популярности,Танымалдығы бойынша,NEEDS_REVIEW,
CT-016,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Вариант сортировки,Сначала новые,Алдымен жаңалары,NEEDS_REVIEW,
CT-017,CATALOG,/catalog,src/components/catalog/FilterForm.tsx,Кнопка отправки фильтра без JavaScript (noscript),Применить,Қолдану,NEEDS_REVIEW,
CT-018,CATALOG,/catalog,src/app/catalog/page.tsx,Пустое состояние каталога при отсутствии совпадений,По выбранным фильтрам ничего не найдено. Попробуйте изменить параметры.,Таңдалған сүзгілер бойынша ештеңе табылмады. Параметрлерді өзгертіп көріңіз.,NEEDS_REVIEW,
CT-019,CATALOG,"/, /catalog, /catalog/[model]",src/components/catalog/ProductCard.tsx,Бейдж на карточке популярного товара,Популярно,Танымал,NEEDS_REVIEW,
CT-020,CATALOG,"/, /catalog, /catalog/[model]",src/components/catalog/ProductCard.tsx,"Подпись вместо цены, когда цену нельзя рассчитать",По запросу,Сұраныс бойынша,NEEDS_REVIEW,
CT-021,CATALOG,"/, /catalog, /catalog/[model]",src/components/catalog/ProductCard.tsx,Кнопка перехода в конфигуратор из карточки,Настроить,Баптау,NEEDS_REVIEW,
CT-022,CATALOG,"/, /catalog, /catalog/[model]",src/components/catalog/ProductCard.tsx,Кнопка добавления в корзину из карточки,В корзину,Себетке,NEEDS_REVIEW,
CT-023,CATALOG,"/, /catalog, /catalog/[model]",src/components/catalog/ProductCard.tsx,Состояние кнопки после успешного добавления в корзину,Добавлено ✓,Қосылды ✓,NEEDS_REVIEW,
CT-024,CATALOG,"/, /catalog, /catalog/[model], /cart",src/components/catalog/ProductCard.tsx; src/components/cart/CartClient.tsx; src/components/configurator/ShelvingPreview.tsx,Характеристика нагрузки в карточке и на схеме,{N} кг/полка,бір сөреге {N} кг,NEEDS_REVIEW,ДИНАМИЧЕСКАЯ СТРОКА: N из конфигурации
CT-025,CATALOG,"/catalog, /catalog/[model]",src/components/catalog/CatalogRackPreview.tsx,aria-label и title SVG-иллюстрации стеллажа в каталоге,"{модель}: {высота}×{ширины}×{глубина} мм, {N} полки","{модель}: {биіктік}×{ені}×{тереңдік} мм, {N} сөре",NEEDS_REVIEW,ДИНАМИЧЕСКАЯ СТРОКА: окончание полки захардкожено и не согласуется по числу даже в русском
PR-001,PRODUCT,/catalog/[model],src/app/catalog/[model]/page.tsx,"Заголовок страницы, если модель не найдена или скрыта",Модель не найдена,Модель табылмады,NEEDS_REVIEW,
PR-002,PRODUCT,/catalog/[model],src/lib/data/seed-data.ts,"Название публичной модели (H1, карточки, хлебные крошки)",MS Стандарт,MS Стандарт,NEEDS_REVIEW,В seed-data уже есть kk: MS Стандарт. Название модели не переводится
PR-003,PRODUCT,"/catalog/[model], /",src/lib/data/seed-data.ts,Короткое описание модели MS Стандарт,"Универсальный болтовой стеллаж для склада, архива и офиса","Қоймаға, мұрағатқа және кеңсеге арналған әмбебап болтты стеллаж",NEEDS_REVIEW,"В seed-data уже есть kk-вариант. Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
PR-004,PRODUCT,"/catalog/[model], /",src/lib/data/seed-data.ts,Полное описание модели MS Стандарт,"MS Стандарт — универсальная модульная стеллажная система на болтовом соединении. Подходит для складов, архивов, магазинов и офисов. Быстро собирается без сварки, легко расширяется дополнительными секциями и полками.","MS Стандарт — бұранды қосылысы бар әмбебап модульдік стеллаж жүйесі. Қоймаға, мұрағатқа, дүкенге және кеңсеге қолайлы. Дәнекерлеусіз тез жиналады, қосымша секциялар мен сөрелер арқылы оңай кеңейтіледі.",NEEDS_REVIEW,"В seed-data есть более короткий kk-вариант — предложенный здесь полнее. Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
PR-005,PRODUCT,/catalog/[model],src/app/catalog/[model]/page.tsx,Цена от: подпись перед минимальной ценой модели,от {цена},{баға}-дан бастап,NEEDS_REVIEW,ДИНАМИЧЕСКАЯ СТРОКА
PR-006,PRODUCT,/catalog/[model],src/app/catalog/[model]/page.tsx,Основная кнопка на странице модели,Настроить в конфигураторе,Конфигураторда баптау,NEEDS_REVIEW,
PR-007,PRODUCT,/catalog/[model],src/app/catalog/[model]/page.tsx,Кнопка WhatsApp на странице модели,Спросить в WhatsApp,WhatsApp арқылы сұрау,NEEDS_REVIEW,
PR-008,PRODUCT,/catalog/[model],src/app/catalog/[model]/page.tsx,Подпись характеристики модели,Максимальная нагрузка,Ең жоғары жүктеме,NEEDS_REVIEW,
